Country,country_index,scenario_index
Algeria,Algeria,Base
Angola,Angola,Base
Argentina,Argentina ,Base
Benin,Benin,Base
Bolivia,Bolivia ,Base
Botswana,Botswana,Base
Brazil,Brazil,Base
Burkina Faso,Burkina Faso,Base
Burundi,Burundi,Base
Cambodia,Cambodia,Base
Cameroon,Cameroon,Base
Central African Republic,Central African Republic,
Chad,Chad,Base
Chile,Chile ,Base
Colombia,Colombia ,Base
Cote d'Ivoire,Cote d'Ivoire,Base
Democratic Republic of Congo,CongoDemRep,Base
Djibouti,Djibouti,Base
Ecuador,Ecuador ,Base
Egypt,Egypt,Base
Equatorial Guinea,Equatorial Guinea,Base
Eritrea,Eritrea,Base
Eswatini,Eswatini,Base
Ethiopia,Ethiopia,Base
Gabon,Gabon,Base
Gambia,Gambia,Base
Ghana,Ghana,Base
Guinea,Guinea,Base
Guinea-Bissau,Guinea Bissau,Base
Indonesia,Indonesia,Base
Kenya,Kenya,Base
Laos,Lao,Base
Lesotho,Lesotho,Base
Liberia,Liberia,Base
Libya,Libya,Base
Malawi,Malawi,Base
Malaysia,Malaysia,Base
Mali,Mali,
Mauritania,Mauritania,Base
Morocco,Morocco,Base
Mozambique,Mozambique,Base
Myanmar,Myanmar,Base
Namibia,Namibia,Base
Niger,Niger,Base
Nigeria,Nigeria,Base
Papua New Guinea,Papua New Guinea,Base
Paraguay,Paraguay ,Base
Peru,Peru ,Base
Philippines,Philippines,Base
Republic of Congo,"Congo,",Base
Rwanda,Rwanda,Base
Senegal,Senegal,Base
Sierra Leone,Sierra Leone,Base
Somalia,Somalia,Base
South Africa,South Africa,Base
South Korea,Republic of Korea,Base
South Sudan,SouthSudan,Base
Sudan,Sudan,Base
Taiwan,Taiwan,Base
Tanzania,Tanzania,Base
Thailand,Thailand,Base
Togo,Togo,Base
Tunisia,Tunisia,Base
Uganda,Uganda,Base
Uruguay,Uruguay ,Base
Venezuela,Venezuela ,Base
Vietnam,Vietnam,Base
Zambia,Zambia,Base
Zimbabwe,Zimbabwe,Base
